"date","btc","nasdaq","btc_vol","fed_rate"
2015-01-31,217.464004516602,4635.240234375,1.48253787334126,0.11
2015-02-28,254.263000488281,4963.52978515625,0.727238626284313,0.11
2015-03-31,244.223999023438,4900.8798828125,0.644011441029256,0.11
2015-04-30,236.145004272461,4941.419921875,0.463459054170798,0.12
2015-05-31,230.190002441406,5070.02978515625,0.26666690959537,0.12
2015-06-30,263.071990966797,4986.8701171875,0.329540982843456,0.13
2015-07-31,284.649993896484,5128.27978515625,0.47888732474933,0.13
2015-08-31,230.055999755859,4776.509765625,0.88974541107558,0.14
2015-09-30,236.059997558594,4620.16015625,0.247817968801105,0.14
2015-10-31,314.165985107422,5053.75,0.369877328741873,0.12
2015-11-30,377.321014404297,5108.669921875,0.945097679820656,0.12
2015-12-31,430.566986083984,5007.41015625,0.619633357615818,0.24
2016-01-31,368.766998291016,4613.9501953125,0.847738267622766,0.34
2016-02-29,437.696990966797,4557.9501953125,0.370587753503115,0.38
2016-03-31,416.72900390625,4869.85009765625,0.255578140777871,0.36
2016-04-30,448.317993164062,4775.35986328125,0.23498505465067,0.37
2016-05-31,531.385986328125,4948.0498046875,0.468674242133386,0.37
2016-06-30,673.336975097656,4842.669921875,0.914706262723264,0.38
2016-07-31,624.681030273438,5162.1298828125,0.474390456296061,0.39
2016-08-31,575.471984863281,5213.22021484375,0.425528439501571,0.4
2016-09-30,609.734985351562,5312,0.217205917208098,0.4
2016-10-31,700.971984863281,5189.14013671875,0.258632780010629,0.4
2016-11-30,745.690979003906,5323.68017578125,0.39662748587907,0.41
2016-12-31,963.742980957031,5383.1201171875,0.367439595980986,0.54
2017-01-31,970.403015136719,5614.7900390625,1.01142525653009,0.65
2017-02-28,1179.96997070312,5825.43994140625,0.416464892234388,0.66
2017-03-31,1071.7900390625,5911.740234375,0.946400435813861,0.79
2017-04-30,1347.89001464844,6047.60986328125,0.310375641488567,0.9
2017-05-31,2286.40991210938,6198.52001953125,0.808683637167449,0.91
2017-06-30,2480.84008789062,6140.419921875,0.793036766988066,1.04
2017-07-31,2875.34008789062,6348.1201171875,1.18938465210809,1.15
2017-08-31,4703.39013671875,6428.66015625,0.676874937363261,1.16
2017-09-30,4338.7099609375,6495.9599609375,1.26696634095339,1.15
2017-10-31,6468.39990234375,6727.669921875,0.676110277112587,1.15
2017-11-30,10233.599609375,6873.97021484375,0.850171946389787,1.16
2017-12-31,14156.400390625,6903.39013671875,1.62598405193748,1.3
2018-01-31,10221.099609375,7411.47998046875,1.26744682102605,1.41
2018-02-28,10397.900390625,7273.009765625,1.37630914764471,1.42
2018-03-31,6973.52978515625,7063.4501953125,0.842719990453252,1.51
2018-04-30,9240.5498046875,7066.27001953125,0.855802841840738,1.69
2018-05-31,7494.169921875,7442.1201171875,0.541927207191027,1.7
2018-06-30,6404,7510.2998046875,0.685092657689492,1.82
2018-07-31,7780.43994140625,7671.7900390625,0.625939009586407,1.91
